name,comment,star,source,label
Minh Tuấn,đã xài được năm cập_nhật đầy_đủ nên vẫn còn mượt lúc mới mua xài mạng 4g xài liên tụt đa_nhiệm youtube nhắn_tin zalo với độ sáng màn_hình tự_động khoảng 60 80 thì mức hao pin khoảng 10 12 tiếng chơi liên_quân cấu_hình cao cao cao thì tốn khoảng pin trận sau năm với mức_độ sạc lần ngày thì mức hao pin khi xem youtube chất_lượng 720 bằng mạng 4g là khoảng 13 15 tiếng với độ sáng màn_hình 60 80 game liên_quân cấu_hình cao cao cao vẫn khoảng pin cho trận tuy_nhiên game đã thỉnh_thoảng giật lag không còn mượt như năm trước nhưng điều này là tất_yếu ai muốn tiết_kiệm pin hơn thì xài wifi sẽ đỡ hao pin hơn 4g,4,tgdd,1
Trtrnh,sử_dụng được 11 tháng cảm_giác máy khá ổn lâu_lâu có bị lỗi nhỏ nhưng không đáng_kể pin hơn 7h xem phim liên tụt chưa thấy dấu_hiệu chai pin,4,tgdd,1
Nguyễn Lương Kim Hảo,xài ổn pin trâu sạc nhanh camera chụp đẹp chơi game mượt có điều bắt sóng wifi không được tốt lắm,5,tgdd,2
Minh,tôi sử_dụng gần năm thì sạc nhanh không hoạt đồng có ai biết cách sữa lỗi không,3,tgdd,0
Nhật Huy,từ lúc máy nâng_cấp lên and rồi 10 là có hiện_tượng máy giật lag kinh_khủng dù mình không xài ứng_dụng gì nhiều đang bấm phím thì màn_hình tắt đột_ngột mở lại rất là lâu không biết do lỗi màn_hình hay lỗi gì nữa,1,tgdd,0
Phương Thảo,mình mua em này từ tháng 2019 thực_sự rất hài_lòng cảm_ứng mượt chụp hình đẹp mình vừa update lên and rồi 10 khá mượt có thêm số chức_năng mới giá khá hời với chiếc điện_thoại như thế này giá_thành khá phù_hợp với các bạn hs sv muốn có điện_thoại tốt,5,tgdd,2
Cúc Huỳnh,sản_phẩm mua về mới xài thì ổn sau khi cập_nhật thì có hiện_tượng treo logo làm_sao để khắc_phục,3,tgdd,1
Nhật Huy,mình mua từ tháng 2019 xài cũng tạm ổn thôi màn_hình mới nên cảm_thấy cảm_ứng không nhạy lắm hay giật lag cảm_ứng vân tay cũng lâu_lâu không nhạy mới được update lên and rồi 10 có thêm tính_năng quay màn_hình_như iphone thấy cũng ok camera chuyên_trị bóng_tối,3,tgdd,1
Mr Châu,a50 qúa tuyệt_vời các bạn nào chê a50 không nhạy là do các chưa tăng độ nhạy_cảm cho a50 và tăng độ nhạy cho bàn_phím tăng xong cảm_ứng rất nhạy nhiều tính_năng hữu_ích,5,tgdd,2
Quỳnh Anh,mua hồi tháng lúc giảm còn triệu máy ai cũng chê nhưng xài tháng rồi mọi thứ đều ổn nhân_viên tư vẫn nhiệt_tình tầm trung nên không_thể đòi_hỏi vân tay nhạy chơi game ít khi bị giật lag thiết_kế đẹp_mắt màu lưng máy siêu đẹp nói_chung những bạn có túi_tiền tầm_tầm thì vẫn nên mua rất tốt dành cho làm_việc giải_trí đều ok tin_dùng sa mà ung bao năm,5,tgdd,2
